rarad,decrad,mag,ci
0.0637162239057,0.352673475752,4.79,1.572
0.0638802752645,-0.330440840836,4.44,1.64
0.0640289008683,-0.258400179332,6.63,1.03
0.0650509314159,-0.167020522459,5.77,-0.084
0.0651416955625,-0.0528383135289,6.64,1.499
0.0651514604991,0.388933098367,6.25,-0.004
0.0653227509184,-0.60919361063,6.17,1.344
0.0653653912783,0.153954832167,6.02,0.312
0.0659550466564,0.550402226198,6.34,1.555
0.0662180231674,0.476185854986,6.35,-0.002
0.0667465663126,0.771494813002,6.76,-0.046
0.0694393327001,1.06465385091,6.43,0.838
0.0694441780543,-1.32490762524,6.49,0.983
0.0704570791865,-0.548843114039,5.66,1.35
0.0706490542848,-1.39366602931,6.59,0.749
0.0708237296671,1.34304403522,6.35,-0.044
0.0713782436188,0.760877145071,6.12,0.068
0.0722886937823,0.143817821833,6.12,0.919
0.0728723855086,-0.570520821831,6.67,1.077
0.0728924767485,-0.352732102904,6.5,-0.108
0.0731349564762,0.178805106278,6.51,1.864
0.0733204791457,-1.37497306417,6.78,0.451
0.0737374628071,0.863273267169,6.52,1.775
0.0739617654728,1.07395668522,5.74,0.898
0.0745769335159,0.675121900661,4.61,0.059
0.0748340838058,0.836840088588,5.86,-0.079
0.0759616241646,0.154924455073,6.66,0.589
0.0765546735135,-0.332504273114,6.46,0.386
0.0773081362552,0.897676768278,6.11,-0.151
0.0776451766046,0.0294738471539,6.19,0.937
0.0782711719936,0.222904133787,6.54,0.97
0.0784572323668,-0.234845225453,6.51,0.599
0.079772300117,-0.368935721479,6.69,-0.008
0.0797939897058,0.195585327754,6.07,1.036
0.0798797899712,-0.637217681892,6.67,1.304
0.0799700055662,0.642023274948,4.51,0.054
0.0813215502473,0.550079377554,5.88,-0.014
0.0815843396372,-0.140551389137,6.47,0.674
0.0816060408381,0.764299595614,6.1,-0.074
0.0816342268167,-0.754603060545,6.33,1.21
0.0847702514074,-0.154006481218,3.56,1.214
0.0859257917437,0.710863189997,6.35,1.179
0.0869956423423,0.283631204491,6.6,0.979
0.0874781017392,-1.13227869803,4.23,0.576
0.0874811296118,-0.30893084407,6.73,1.249
0.0876422357069,0.852862974529,6.53,0.051
0.0890409437717,0.53992831185,5.89,-0.098
0.0895154987633,0.854663871495,6.46,0.564
0.0897491767423,0.987104519352,6.73,0.817
0.0898743921046,0.142947200819,5.38,1.343
0.090105567891,-1.21518397315,5.5,-0.046
0.0904344371301,1.08000267676,6.8,2.02
0.09057687812,0.574408564538,5.79,1.595
0.0907992490795,-0.41242519325,6.78,0.311
0.0912364812306,0.19158306669,6.57,0.056
0.0921577400042,0.662677136,5.16,0.442
0.0937206216536,-1.35135385519,5.96,1.397
0.0938983811426,-0.505822052267,5.18,1.006
0.0947152691019,1.18373492495,6.55,0.981
0.0949947318396,-0.350078551719,5.61,1.58
0.0975390630606,-0.889986786115,6.68,1.102
0.0978462466239,0.235313814114,6.25,1.225
0.0994853241757,-0.68525839744,6.75,0.371
0.0997588694054,-0.213094894639,6.39,0.659
0.100164892748,0.676389906742,6.69,1.556
0.1006761301,-0.278250097773,6.43,1.595
0.101273153812,-0.541676464311,6.55,-0.06
0.104228906372,1.06397737367,6.57,0.38
0.105102798301,0.772565359346,6.66,0.413
0.10585801617,0.907918774347,5.58,-0.11
0.106875900044,-0.0387299815072,6.08,1.216
0.107494446287,0.249852855705,6.48,1.161
0.107605171184,0.547563106458,6.76,-0.058
0.108173800898,1.07915553207,5.38,0.008
0.109548550467,0.925841066726,5.72,-0.056
0.110843558104,0.0338540181908,5.77,0.855
0.112028110148,-1.34834096384,2.82,0.618
0.11211920373,0.959829954129,6.78,1.676
0.112130969638,0.134235396925,6.77,1.3
0.11371415944,0.351628890192,6.67,-0.036
0.114324317212,0.990984491048,6.71,0.879
0.114332017586,-0.762356840312,3.93,0.175
0.114682902958,-0.738378668832,2.4,1.083
0.115028217419,-0.326265435024,6.24,1.622
0.116167215788,-0.000864507792424,6.16,0.893
0.116315950955,0.988575556121,6.58,0.021
0.118141930507,0.437066523506,6.66,0.487
0.118342183383,1.39717342855,6.53,-0.083
0.11887920193,-0.445882236347,5.99,1.022
0.120069011423,0.279697441121,6.44,0.23
0.120542087182,-0.351413743591,6.78,0.261
0.121860392214,-0.576083740604,4.86,1.634
0.122061544007,0.340584227841,6.4,0.99
0.12238478362,0.312293939786,5.01,1.584
0.123096869277,0.287020537923,6.05,1.58
0.123164552623,0.774829355683,5.18,0.043
0.123199798258,-0.506848350948,6.75,1.127
0.123631215991,0.177846391558,6.05,0.447
0.123707532632,-0.354913585445,6.44,0.594
0.124099951162,-0.696648210541,5.42,1.556
0.125305470636,-0.881964774105,6.26,1.09
0.126293663498,0.644021157918,6.28,0.916
0.130099795566,-0.560529621415,6.59,1.351
0.13031023431,-0.259427643472,6.15,0.388
0.131071162247,-0.0690684705316,5.72,1.545
0.131435011867,0.519262620356,5.2,0.271
0.131531311117,0.0848249431074,6.52,0.453
0.132348547769,1.04680579986,5.94,-0.003
0.132547247749,-0.415173342376,5.17,0.128
0.13279555632,-0.841508933371,5.67,0.367
0.132923249131,-0.714530566473,6.18,0.315
0.133030364864,-0.689728762763,6.6,1.141
0.134855371175,1.34424219141,6.18,0.883
0.135548802629,0.972194028713,6.57,1.154
0.136201595806,0.767011809076,6.76,-0.064
0.137076571359,-0.851782011059,4.76,0.018
0.137096566123,1.16098633783,6.18,-0.1
0.137127169516,0.586110223231,5.88,1.133
0.1376343999,-1.09882818744,4.36,-0.064
0.137692405944,-1.09895635547,4.53,0.147
0.138257613835,0.922223711585,5.59,1.163
0.138633078936,0.951593452742,4.74,-0.098
0.140648141874,0.610758524829,6.74,0.191
